state_name_full,median_income,year,population,latitude,longitude,capital,region
Alaska,78038,2020,733391,30.048928,-115.093731,Juneau,west
Arizona,70080,2020,7151502,34.048928,-111.093731,Phoenix,west
California,78002,2020,39538223,36.778261,-119.417932,Sacramento,west
Colorado,72400,2020,5773714,39.550051,-105.782067,Denver,west
Hawaii,88101,2020,1455271,26.97273,-104.032363,Honolulu,west
Idaho,65326,2020,1839106,44.068202,-114.742041,Boise,west
Montana,60000,2020,1084225,46.879682,-110.362566,Helena,west
Nevada,70627,2020,3104614,38.80261,-116.419389,Carson City,west
New Mexico,53021,2020,2117522,34.97273,-105.032363,Santa Fe,west
Oregon,73900,2020,4237256,43.804133,-120.554201,Salem,west
Utah,84517,2020,3271616,39.32098,-111.093731,Salt Lake City,west
Washington,74073,2020,7705281,47.751074,-120.740139,Olympia,west
Wyoming,64587,2020,576851,43.075968,-107.290284,Cheyenne,west
Alaska,68400,2019,731545,30.048928,-115.093731,Juneau,west
Arizona,62311,2019,7278717,34.048928,-111.093731,Phoenix,west
California,70001,2019,39512223,36.778261,-119.417932,Sacramento,west
Colorado,72620,2019,5758736,39.550051,-105.782067,Denver,west
Hawaii,80000,2019,1415872,26.97273,-104.032363,Honolulu,west
Idaho,58729,2019,1787065,44.068202,-114.742041,Boise,west
Montana,58000,2019,1068778,46.879682,-110.362566,Helena,west
Nevada,61900,2019,3080156,38.80261,-116.419389,Carson City,west
New Mexico,48000,2019,2096829,34.97273,-105.032363,Santa Fe,west
Oregon,69358,2019,4217737,43.804133,-120.554201,Salem,west
Utah,76613,2019,3205958,39.32098,-111.093731,Salt Lake City,west
Washington,79801,2019,7614893,47.751074,-120.740139,Olympia,west
Wyoming,62002,2019,578759,43.075968,-107.290284,Cheyenne,west
Alaska,74346,2018,731545,30.048928,-115.093731,Juneau,west
Arizona,59246,2018,7278717,34.048928,-111.093731,Phoenix,west
California,75277,2018,39461588,36.778261,-119.417932,Sacramento,west
Colorado,71953,2018,5758736,39.550051,-105.782067,Denver,west
Hawaii,80212,2018,1420593,26.97273,-104.032363,Honolulu,west
Idaho,55583,2018,1750536,44.068202,-114.742041,Boise,west
Montana,55328,2018,1060665,46.879682,-110.362566,Helena,west
Nevada,58646,2018,3027341,38.80261,-116.419389,Carson City,west
New Mexico,47169,2018,2092741,34.97273,-105.032363,Santa Fe,west
Oregon,63426,2018,4181886,43.804133,-120.554201,Salem,west
Utah,71414,2018,3153550,39.32098,-111.093731,Salt Lake City,west
Washington,74073,2018,7523869,47.751074,-120.740139,Olympia,west
Wyoming,61584,2018,577601,43.075968,-107.290284,Cheyenne,west
Alaska,73181,2017,739700,30.048928,-115.093731,Juneau,west
Arizona,56581,2017,7044008,34.048928,-111.093731,Phoenix,west
California,71805,2017,39358497,36.778261,-119.417932,Sacramento,west
Colorado,69117,2017,5611885,39.550051,-105.782067,Denver,west
Hawaii,77765,2017,1424393,26.97273,-104.032363,Honolulu,west
Idaho,52225,2017,1717715,44.068202,-114.742041,Boise,west
Montana,53386,2017,1052482,46.879682,-110.362566,Helena,west
Nevada,58003,2017,2969905,38.80261,-116.419389,Carson City,west
New Mexico,46744,2017,2091784,34.97273,-105.032363,Santa Fe,west
Oregon,60212,2017,4143625,43.804133,-120.554201,Salem,west
Utah,65358,2017,3101042,39.32098,-111.093731,Salt Lake City,west
Washington,70979,2017,7423362,47.751074,-120.740139,Olympia,west
Wyoming,60434,2017,578931,43.075968,-107.290284,Cheyenne,west
Alaska,76440,2016,741456,30.048928,-115.093731,Juneau,west
Arizona,53558,2016,6941072,34.048928,-111.093731,Phoenix,west
California,67739,2016,39167117,36.778261,-119.417932,Sacramento,west
Colorado,65685,2016,5539215,39.550051,-105.782067,Denver,west
Hawaii,74511,2016,1427559,26.97273,-104.032363,Honolulu,west
Idaho,51807,2016,1682380,44.068202,-114.742041,Boise,west
Montana,50027,2016,1040859,46.879682,-110.362566,Helena,west
Nevada,55180,2016,2917563,38.80261,-116.419389,Carson City,west
New Mexico,46748,2016,2091630,34.97273,-105.032363,Santa Fe,west
Oregon,57532,2016,4089976,43.804133,-120.554201,Salem,west
Utah,65977,2016,3041868,39.32098,-111.093731,Salt Lake City,west
Washington,67106,2016,7294771,47.751074,-120.740139,Olympia,west
Wyoming,59882,2016,584215,43.075968,-107.290284,Cheyenne,west
Illinois,74030,2020,12812508,40.633125,-89.398528,Springfield,midwest
Indiana,66882,2020,6785528,40.551217,-85.602364,Indianapolis,midwest
Iowa,65635,2020,3190369,41.878003,-93.097702,Des Moines,midwest
Kansas,73110,2020,2940865,39.011902,-98.484246,Topeka,midwest
Michigan,63769,2020,9966555,44.314844,-85.602364,Lansing,midwest
Minnesota,81260,2020,5657342,46.729553,-94.6859,Saint Paul,midwest
Missouri,60010,2020,6160281,37.964253,-91.831833,Jefferson City,midwest
Nebraska,73000,2020,1937552,41.492537,-99.901813,Lincoln,midwest
North Dakota,70000,2020,779094,47.551493,-101.002012,Bismarck,midwest
